                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.68778,                0.70785,                0.96005,                      1,                0.99234,                  0.995,                0.88094,                0.61442,                0.97429,                0.87156,              0.0008318,              0.0008318,              0.0008318
                     61,                0.65426,                0.71175,                 0.9974,                      1,                0.99272,                  0.995,                 0.8657,                0.59764,                   0.93,                0.86717,               0.000812,               0.000812,               0.000812
                     62,                0.62119,                0.72885,                0.92793,                 0.9994,                      1,                  0.995,                0.85741,                0.57675,                0.84428,                0.85902,              0.0007922,              0.0007922,              0.0007922
                     63,                0.61086,                0.66479,                0.97251,                 0.9994,                      1,                  0.995,                0.85741,                0.57675,                0.84428,                0.85902,              0.0007724,              0.0007724,              0.0007724
                     64,                0.66159,                0.71204,                0.99122,                0.99524,                      1,                  0.995,                0.85534,                0.57104,                0.84789,                0.86855,              0.0007526,              0.0007526,              0.0007526
                     65,                0.57382,                0.69548,                0.92441,                0.99464,                      1,                  0.995,                0.89206,                0.55314,                0.77817,                0.86633,              0.0007328,              0.0007328,              0.0007328
                     66,                0.58094,                0.69849,                 1.0232,                0.99419,                      1,                  0.995,                0.89507,                0.51487,                 0.7841,                 0.8393,               0.000713,               0.000713,               0.000713
                     67,                0.53285,                0.66029,                0.92981,                0.99382,                      1,                  0.995,                0.91453,                0.45309,                0.79922,                 0.8062,              0.0006932,              0.0006932,              0.0006932
                     68,                0.58286,                0.78859,                 1.0036,                0.99371,                      1,                  0.995,                0.90659,                0.44725,                0.78459,                0.80137,              0.0006734,              0.0006734,              0.0006734
                     69,                0.50145,                0.64423,                0.91011,                0.99371,                      1,                  0.995,                0.90659,                0.44725,                0.78459,                0.80137,              0.0006536,              0.0006536,              0.0006536
                     70,                0.50458,                0.65728,                0.91343,                0.99388,                      1,                  0.995,                0.90885,                0.44795,                0.74704,                0.80998,              0.0006338,              0.0006338,              0.0006338
                     71,                0.51623,                0.61378,                0.90116,                0.99454,                      1,                  0.995,                0.90212,                0.44813,                0.73718,                0.80832,               0.000614,               0.000614,               0.000614
                     72,                 0.5008,                0.62525,                0.90828,                0.99485,                      1,                  0.995,                0.91105,                0.42956,                0.74944,                0.80328,              0.0005942,              0.0005942,              0.0005942
                     73,                0.47809,                 0.6492,                 0.9214,                0.99495,                      1,                  0.995,                 0.9292,                 0.4174,                0.74964,                0.79974,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.5025,                0.63853,                0.87001,                0.99487,                      1,                  0.995,                0.90861,                  0.439,                0.73661,                0.81736,              0.0005546,              0.0005546,              0.0005546
                     75,                0.51727,                0.61666,                0.93111,                0.99487,                      1,                  0.995,                0.90861,                  0.439,                0.73661,                0.81736,              0.0005348,              0.0005348,              0.0005348
                     76,                0.49918,                 1.0487,                0.90631,                0.99484,                      1,                  0.995,                0.90671,                0.48645,                0.74808,                0.83247,               0.000515,               0.000515,               0.000515
                     77,                0.52642,                0.63359,                0.94849,                0.99481,                      1,                  0.995,                0.90202,                0.51982,                0.76099,                0.82872,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52477,                0.63366,                0.95077,                0.99475,                      1,                  0.995,                0.90119,                0.51015,                0.76319,                 0.8162,              0.0004754,              0.0004754,              0.0004754
                     79,                0.50487,                 0.6189,                0.89981,                0.99484,                      1,                  0.995,                0.91545,                0.48459,                0.77325,                0.81212,              0.0004556,              0.0004556,              0.0004556
                     80,                0.54618,                0.62068,                0.94305,                0.99512,                      1,                  0.995,                0.91362,                0.44503,                0.74729,                0.80652,              0.0004358,              0.0004358,              0.0004358
                     81,                0.54593,                0.68257,                0.95277,                0.99512,                      1,                  0.995,                0.91362,                0.44503,                0.74729,                0.80652,               0.000416,               0.000416,               0.000416
                     82,                0.46877,                 0.6187,                0.89674,                0.99541,                      1,                  0.995,                0.91028,                0.41423,                0.74496,                0.80545,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.4381,                0.64788,                0.92073,                0.99551,                      1,                  0.995,                0.91028,                0.41742,                0.73453,                0.81168,              0.0003764,              0.0003764,              0.0003764
                     84,                0.52086,                0.56723,                0.89866,                 0.9952,                      1,                  0.995,                0.92433,                 0.4266,                0.70684,                0.82461,              0.0003566,              0.0003566,              0.0003566
                     85,                0.52207,                0.59871,                0.92115,                  0.995,                      1,                  0.995,                0.92433,                0.42762,                 0.6958,                0.82687,              0.0003368,              0.0003368,              0.0003368
                     86,                0.55786,                0.64743,                0.95473,                0.99508,                      1,                  0.995,                0.91766,                0.42223,                0.67067,                0.82062,               0.000317,               0.000317,               0.000317
                     87,                0.60393,                0.63801,                0.98098,                0.99508,                      1,                  0.995,                0.91766,                0.42223,                0.67067,                0.82062,              0.0002972,              0.0002972,              0.0002972
                     88,                0.47579,                0.58912,                0.90851,                 0.9951,                      1,                  0.995,                0.92338,                0.41278,                0.67912,                0.81123,              0.0002774,              0.0002774,              0.0002774
                     89,                0.47449,                0.64557,                0.91653,                0.99518,                      1,                  0.995,                0.92338,                0.39688,                0.67751,                0.80401,              0.0002576,              0.0002576,              0.0002576
                     90,                0.45189,                0.61537,                 0.9082,                0.99515,                      1,                  0.995,                0.94059,                0.36831,                0.66262,                0.79306,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45593,                0.72799,                0.88841,                0.99512,                      1,                  0.995,                0.94059,                0.34513,                0.66029,                0.79089,               0.000218,               0.000218,               0.000218
                     92,                0.40663,                0.69785,                0.85497,                0.99515,                      1,                  0.995,                0.93504,                0.36208,                0.66757,                0.79313,              0.0001982,              0.0001982,              0.0001982
                     93,                0.37478,                0.63795,                 0.8475,                0.99515,                      1,                  0.995,                0.93504,                0.36208,                0.66757,                0.79313,              0.0001784,              0.0001784,              0.0001784
                     94,                0.41946,                0.69977,                0.87101,                0.99492,                      1,                  0.995,                0.92654,                0.38176,                 0.6705,                0.79047,              0.0001586,              0.0001586,              0.0001586
                     95,                0.37171,                 0.6437,                0.84106,                0.99508,                      1,                  0.995,                0.93004,                0.39451,                0.67114,                 0.7883,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.4551,                0.69727,                0.89571,                0.99506,                      1,                  0.995,                0.94104,                0.39722,                0.67222,                0.78774,               0.000119,               0.000119,               0.000119
                     97,                0.37806,                0.66651,                0.84542,                0.99511,                      1,                  0.995,                0.92029,                0.39728,                0.67353,                0.78749,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36493,                0.65877,                0.83497,                 0.9951,                      1,                  0.995,                0.93329,                0.38909,                0.67201,                0.78703,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.3416,                0.66236,                0.85559,                 0.9951,                      1,                  0.995,                0.93329,                0.38909,                0.67201,                0.78703,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.34929,                0.64343,                0.82142,                0.99512,                      1,                  0.995,                0.93329,                 0.3798,                0.66764,                0.78388,               3.98e-05,               3.98e-05,               3.98e-05
